Name,Importance,lng,lat
府河,77.23778168,114.319,30.715
龚家岭,41.18832323,114.45,30.5983
武汉西,39.39943625,114.073,30.4616
武昌,36.70123992,114.265,30.4341
黄石,26.65581494,115.036,30.2534
蔡甸,25.066207,114.055,30.5705
仙桃东,22.94114225,113.566,30.3283
枝江,17.34388508,111.76,30.4954
猇亭,16.54578446,111.463509,30.572404
黄陂,16.11560718,114.34,30.8464
十堰东,11.5519016,110.869,32.6283
天门,10.62625341,113.123,30.6352
钟祥,10.4031594,112.627,31.022
荆州桥南,9.971330151,112.224,30.2849
咸宁北,9.237367603,114.288,29.9705
汉南,9.039107171,114.071,30.3465
枣阳,9.028073746,112.776,32.0205
鄂州中,8.940810492,114.905,30.3543
应城,8.832823495,113.591,30.8709
鄂州,8.814117939,114.905,30.3548
荆州中,8.695783163,112.256,30.3476
凤凰山,8.552675025,114.461,30.4186
琴台,8.438704914,114.146,30.5784
黄冈,8.025764772,114.889,30.5352
荆门,7.915677769,112.274,30.9294
襄阳西,7.863955862,112.088,32.0988
随县,7.426205044,113.332,31.838
黄石西,7.407416732,114.928,30.171
杨店,7.342342279,112.339,30.243
武汉北,6.971526294,114.065,30.637
蕲春,6.840368851,115.359,30.1093
荆门北,6.542299915,112.278,31.0427
宜都,6.433519578,111.407,30.3844
豹獬,6.256201513,114.557,30.4687
京山南,6.065208699,113.112,30.9133
小池,5.984842146,115.988,29.8086
金口,5.740977691,114.17,30.3614
大冶,5.696256468,114.922,30.0778
葛店,5.577012713,114.675,30.5222
桂花,5.203199705,114.37,29.7482
英山,5.202689798,115.657,30.7587
荆州,5.172257652,112.202,30.401
红安,5.16090161,114.586,31.0393
径河,5.126434122,114.17,30.6665
安陆,4.970971958,113.706,31.2003
永丰,4.94384352,114.158,30.6817
恩施,4.911520042,109.544,30.3126
后湖,4.796679886,112.742,30.3737
长青,4.78274227,114.114,30.6164
襄阳东,4.769422488,112.365,32.1554
汪集,4.714742163,114.722,30.7985
军山,4.662865747,114.123,30.3903
恩施北,4.614043116,109.447,30.2916
谷城,4.61063987,111.624,32.3128
北河,4.594822524,113.76,30.4337
乔店,4.546954736,114.326,30.7883
徐家堡,4.481402549,114.172,30.4428
公安,4.473341453,112.165,30.0559
宜都北,4.441809531,111.394,30.545
巴河,4.374197402,115.071,30.4684
江夏,4.32466586,114.318,30.3151
汉川,4.285722407,113.84,30.7332
花山,4.244285166,114.527,30.5568
黄陂东,4.196329899,114.476,30.8937
北湖,4.189209661,114.53,30.602
天门北,4.162968028,113.285,30.8279
鸦鹊岭,4.036615051,111.529,30.6975
机场北,4.009041736,114.257,30.8094
十堰西,3.943336003,110.789,32.7006
老河口,3.87592165,111.734,32.2847
安山,3.764469549,114.281,30.1606
武汉南,3.750320388,114.259,30.3325
散花,3.685844571,115.13,30.2497
甘棠,3.655177266,114.563,30.8413
保康,3.544011347,111.28,31.8479
柏泉,3.460221278,114.143,30.713
嘉鱼东,3.456618999,113.99,29.9469
大悟,3.364178259,114.151,31.585
荆州桥北,3.363030089,112.235,30.3348
东西湖,3.345025214,113.992,30.7177
黄州,3.338226392,114.998,30.5767
崇阳,3.301594893,114.086,29.5199
巨龙,3.161880877,114.407,30.7288
嘉鱼北,3.119978984,114.003,30.0247
房县,3.107204313,110.726,32.0754
通城,3.068178456,113.8,29.3267
监利,3.062850644,113.037,29.8933
利川,3.037126622,108.963,30.2825
峪山,2.964916858,111.099,32.0058
竹山,2.924482259,110.218,32.2191
琚湾,2.903992954,112.625,32.0807
团风,2.87584318,114.916,30.6792
当阳西,2.757948799,111.751,30.771
安福寺,2.726999041,111.596,30.5371
胡集,2.701606837,112.343,31.44
当阳东,2.666910868,111.854,30.7872
郧西,2.659053641,110.404,33.0228
江陵北,2.650983234,112.381,30.1418
广水,2.619572795,113.857,31.5721
新洲,2.613478541,114.89,30.8697
十里,2.565534643,112.219,30.5976
云梦,2.488561636,113.78,31.1097
团陂,2.443130349,115.238,30.7255
利川西,2.418444593,108.858,30.2888
武穴,2.358712182,115.626,30.0111
赤壁西,2.355008936,113.818,29.742
京山,2.2939919,113.249,30.9556
汉口北,2.277742703,114.238,30.8472
孝昌,2.264930043,114.089,31.1918
武当山,2.257085195,111.103,32.5146
监利北,2.249206273,112.917,29.9356
郎君,2.190504861,113.72,30.8413
兰溪,2.117420779,115.165,30.3742
禹王,2.044959776,114.922,30.5702
宜城南,2.021751846,112.237,31.6665
铁门,2.017879227,114.933,31.0273
永安,1.999071565,113.97,30.4632
巴东北,1.906607565,110.461,31.1661
排湖,1.870569641,113.314,30.3834
金牛,1.834440641,114.681,29.9758
朱河,1.830296103,113.106,29.7385
封江,1.754085418,113.352,31.9659
鄂州西,1.748442617,114.801,30.3954
大洪山西,1.737574445,112.916,31.6574
高罗,1.730811437,109.511,29.7573
白洋,1.663828738,111.542,30.4282
咸丰东,1.634225233,109.167,29.6983
巴东,1.632571155,110.337,30.6225
西湖,1.597785601,114.079,30.7195
建始,1.509462312,109.9,30.555
咸宁东,1.505129062,114.39,29.9053
沙湖,1.50261374,113.708,30.2141
恩施东,1.472019286,109.578,30.3978
板桥店,1.41686852,112.511,31.7618
泉口,1.415152478,114.163,29.8347
安居,1.382490869,113.178,31.7628
蕲春东,1.36866301,115.518,30.2621
浠水,1.364052987,115.385,30.474
郧县,1.262674412,110.755,32.795
花桥,1.254139049,115.742,30.0243
小河,1.244852238,114.064,31.3359
贺家坪,1.216827457,110.862,30.6117
通山,1.191339711,114.454,29.6475
潘家湾,1.185901377,114.114,30.0794
汪桥,1.17958752,112.696,29.9936
育溪,1.174973361,111.961,30.8372
索河,1.168591861,113.909,30.5221
鄂州东,1.164466382,114.99,30.3317
齐岳山,1.163482438,108.797,30.4016
咸宁南,1.157836659,114.206,29.8839
五里,1.154321528,112.237,30.7378
竹溪,1.145941309,109.769,32.3111
分盐,1.124087196,113.04,29.9469
陈场,1.119305427,113.057,30.2499
三里畈,1.118165305,115.323,30.827
宝丰,1.10255004,109.989,32.3169
郧阳南,1.044444871,110.898,32.7978
太子山,0.99417598,112.865,30.998
高坪,0.964106974,110.082,30.6399
高家堰,0.95017951,111.039,30.5859
分路,0.936028558,115.94,29.7629
张公,0.930871503,114.321,29.933
芭蕉,0.903438275,109.471,30.1635
鸦南,0.901515882,111.6,30.6295
崇阳东,0.880045439,114.21,29.5746
江陵,0.860916877,112.455,30.1044
当阳北,0.858437182,111.67,30.8622
榔坪,0.826065372,110.528,30.6203
黄陂北,0.809947613,114.534,30.9865
北港,0.798750383,113.695,29.3036
白马寺,0.757563379,112.555872,30.092894
白浒山,0.749021493,114.581,30.5572
三江港,0.74746773,114.811,30.5365
来凤,0.738246899,109.458,29.5582
高岚,0.73817113,110.932,31.2039
黄沙铺,0.69434872,114.699,29.7299
