Name,Importance,lng,lat
德胜,29.75157288,120.249829,30.312002
宁波东,27.88884411,121.605404,29.845437
杭州北,27.83123316,120.257317,30.356102
宁波北,26.16442695,121.464496,29.94935
紫金港,21.81534446,120.068303,30.343155
杭州南,15.39964134,120.118682,30.147622
余杭,15.09275933,120.311135,30.39227
北仑,14.12379632,121.815392,29.896261
老余杭,13.76350477,119.967273,30.254646
绍兴,13.33936394,120.619425,30.113763
南庄兜,12.83504991,120.126551,30.384535
丁家山,12.68921861,121.695109,29.864626
柯桥,12.42394918,120.530294,30.153064
杭州,11.93152492,120.233713,30.290064
南湖(嘉兴南),11.73858133,120.768597,30.688932
下沙南,11.66760217,120.363239,30.281215
临安,11.62925383,119.757301,30.226113
杭州西付,11.32773417,120.040819,30.245065
娄桥,11.12543934,120.601862,27.972435
瓶窑,10.85967672,119.973354,30.351182
奉化,10.70254114,121.460256,29.672598
宁波,9.927797617,121.501039,29.843489
浦江,9.913843938,120.031412,29.443837
玲珑,9.786581796,119.669493,30.206294
义乌,9.735275501,120.037529,29.380617
嵊州南,9.589892256,120.815992,29.55956
东洲岛,9.075802751,120.069473,30.077773
朝阳,8.700015066,121.488795,29.790226
温州南,8.579783985,120.696454,27.938863
永康东,8.34262077,120.015251,28.861823
萧山机场,8.068944757,120.387079,30.218647
仙居城关,7.906392774,120.714294,28.83785
青山湖,7.832957622,119.852388,30.257387
丽水,7.749881555,119.910904,28.400102
临平,7.691493321,120.333143,30.377198
横街,7.383599691,121.423259,29.85614
廿三里,7.345638438,120.18446,29.33721
新昌,7.287152754,120.857619,29.529295
宁海,7.27457175,121.465655,29.36362
临海城南,7.242905732,121.151616,28.806683
洞桥,7.132392439,121.402441,29.786755
半山,7.103490201,120.203473,30.393102
富阳,6.893257842,119.962202,30.008448
方岩,6.877652515,120.17302,28.951447
横溪,6.858113416,120.502546,28.740341
湖州东和孚,6.650967163,120.17497,30.808121
萧山南,6.620312517,120.256204,30.111035
宁波西,6.461513554,121.440979,29.816464
湖州南鹿山,6.259564676,120.07789,30.820453
台州,6.148357239,121.252182,28.677796
温州东,6.097661816,120.762057,27.974239
诸暨,6.043608299,120.19705,29.74338
白塔,6.023803815,120.627177,28.78003
温州西,6.016107924,120.601593,28.024837
径山,5.999436111,119.899657,30.397237
九龙湖,5.830207576,121.569894,29.997218
南浔南,5.71959389,120.411583,30.744924
小港,5.651139859,121.693124,29.916385
云和,5.625812103,119.599318,28.105991
南太湖,5.551005051,120.073611,30.932222
柴桥,5.529531089,121.934615,29.873309
上虞道墟,5.516657889,120.801807,30.042275
怀鲁,5.510595744,120.380324,29.349428
白露屿,5.475832215,120.802894,28.026556
永康,5.354756998,120.122805,28.890926
萧山东,5.294951795,120.350268,30.181876
三墩,5.28901577,120.067703,30.308604
灵峰,5.238373505,121.77672,29.891079
长安付,5.218704886,120.442855,30.476371
五常,5.163786883,120.054049,30.284484
机场,5.143981852,120.396511,30.222981
福田,5.126375401,120.108421,29.389372
泗安,5.057559534,119.654465,30.913948
昌化,5.029290886,119.234022,30.171616
王江泾主线,4.887332949,120.677598,30.869962
许村,4.861599717,120.3686,30.425474
金华,4.815533629,119.662235,29.145646
嵊州,4.799679401,120.837228,29.654297
开化,4.75790058,118.431035,29.153446
德清,4.697442175,120.026498,30.549052
义乌东,4.562499499,120.152171,29.309119
西溪,4.555086261,120.228832,29.013895
新街,4.555055956,120.365954,30.214748
临江,4.549462296,121.662459,29.948979
蛟川,4.541909467,121.646089,29.967757
湖州北,4.534254653,120.037754,30.904013
滨海新城南(沥海),4.532188971,120.785503,30.118467
南浔,4.501513639,120.391573,30.888845
於潜付,4.464320603,119.40383,30.182183
金华东,4.437918287,119.723248,29.163358
东阳,4.367564468,120.272039,29.315656
转塘,4.362800995,120.092802,30.154245
胡家兜,4.328006414,120.457963,30.409017
奉化溪口东,4.327634362,121.344474,29.69854
东钱湖,4.316487402,121.647445,29.818489
上虞付,4.279200503,120.907351,30.055117
双林,4.261981003,120.350121,30.76119
安吉,4.226954719,119.736534,30.624922
龙泉,4.22456564,119.127303,28.051465
