2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30
8197.0,8342.0,8430.0,3543.0,558.0,475.0,419.0,454.0,392.0,299.0,191.0,164.0,150.0,173.0,185.0,219.0,154.0,72.0,61.0,69.0,22.0,19.0,21.0,2.0,6056.127272727273,6056.127272727273,7.0,5.0,4.0,6.0,4.0,8.0,7.0,3.0,2.0,5.0,4.0,2.0,2.0,48.0,21.0,17.0,17.0,16.0,8.0,10.0,44.0,6056.127272727273,6056.127272727273,6056.127272727273,6056.127272727273,6056.1272727272735,6056.127272727273,6056.127272727273,6056.127272727273,6056.127272727273,6056.1272727272735,6056.127272727273,6056.127272727273,6056.1272727272735,6056.1272727272735,5991.971541501976,5992.132469193211,6155.5841846915155,6328.889766045803,6512.994066539522,6710.97825611888,6918.898200757575,7135.572336265884,7365.820609586077,7609.181296572279,7866.42473035439,8137.2842038148865,8210.307254028487,8503.318227386646,8812.347981109797,9138.509017447197,9483.169735086713,9847.772417205433,10233.841923762508,10642.19560071301,11075.795421150275,11536.599397031538,12027.135541586069,12417.443015726178,12700.168159859462,13002.170018365474,13325.241773976555,13671.390083559852,14042.866318234612,14442.20327050998,14873.903468632818,15337.063739248108,15819.016270218666,16319.24282809536,16837.445476962177,17372.71856305035,17930.229037846027,15155.0,19123.014744191147,19749.373887205435,20384.40091408214,21021.625613694978,21672.611769533603,22353.32423940261,23061.340575944723,15100.0,24574.348935714697,25373.949414033286,26186.84158388435,15181.0,28082.815133263015,14129.0,16415.0,17053.0,33097.0,51056.0,61352.0,61698.0,61698.0,0.0
3382.0,3911.0,4324.0,1453.0,69.0,123.0,128.0,114.0,75.0,47.0,22.0,20.0,23.0,23.0,17.0,39.0,62.0,16.0,35.0,49.0,10.0,2.0,6.0,2745.8979591836733,2745.8979591836733,2745.8979591836733,2745.8979591836733,2745.8979591836733,2745.8979591836737,4.0,2745.8979591836733,2.0,5.0,2745.8979591836733,4.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,9.0,11.0,13.0,12.0,13.0,2745.8979591836733,2745.8979591836737,2745.8979591836737,2745.8979591836737,2745.8979591836733,2745.8979591836733,2745.8979591836733,2745.8979591836733,2745.8979591836737,2745.8979591836737,2745.8979591836737,2745.8979591836737,2745.8979591836737,2745.8979591836737,2719.7935522034904,2714.8315978565342,2793.0056754044904,2873.975544356141,2960.5286380286384,3052.3889079670325,3148.559984410431,3249.223209713993,3354.4764297046154,3464.8923106947695,3582.142897497982,3658.2185498395734,3690.229798634517,3723.9559357577614,3809.3743705274314,3899.5753109324537,3994.825361171722,4148.318644293711,4310.919375442484,4483.236150460183,4666.041707621823,4860.043445439399,5066.321889926182,5226.620712114632,5336.875056689341,5454.646742939599,5580.63505846313,5715.6225393812,5860.487153049372,6016.216612742656,6184.59460541184,6365.156498505594,6551.5297097117145,6743.255002129657,6939.906726839391,7140.870792883097,7350.970587952556,5800.0,7816.842300399919,8064.23701009177,8313.49401588111,8561.665226858764,8813.9665608939,9077.672613709303,9351.807427667136,6000.0,9937.03277453841,10246.577965543798,10562.436626083374,8737.0,11328.384949705916,5692.0,6084.0,7250.0,14758.0,20340.0,24745.0,21097.0,21097.0,0.0
446.0,324.0,338.0,437.0,423.0,528.0,413.0,387.0,334.0,384.0,755.0,469.0,379.0,526.0,330.0,361.0,416.0,380.0,396.0,405.0,329.0,381.0,356.0,122.0,79.0,92.0,65.0,56.0,48.0,120.0,13.0,10.0,6.0,5.0,187.01818181818183,2.0,187.0181818181818,2.0,187.0181818181818,2.0,6.0,187.01818181818183,187.01818181818183,187.0181818181818,187.01818181818183,187.01818181818183,2.0,187.01818181818183,2.0,18.0,47.0,34.0,66.0,71.0,39.0,21.0,26.0,23.0,44.0,26.0,84.0,63.0,89.0,77.0,73.0,105.0,115.0,103.0,84.0,77.0,74.0,66.0,98.0,132.0,124.0,97.0,76.0,90.0,90.0,108.0,145.0,139.0,94.0,87.0,115.0,106.0,102.0,126.0,106.0,87.0,79.0,115.0,98.0,194.0,292.0,242.0,126.0,110.0,119.0,95.0,129.0,118.0,168.0,119.0,113.0,150.0,184.0,256.0,198.0,142.0,87.0,81.0,84.0,45.0,123.0,1092.0,785.0,808.0,944.0,944.0,0.0
4690.0,4001.0,3945.0,3684.0,4695.0,2921.0,3236.0,3228.0,3522.0,3807.0,3547.0,5710.0,4042.0,3769.0,3712.0,3857.0,4151.0,4328.0,4567.0,4241.0,4237.0,3909.0,3342.0,982.0,734.0,1370.0,1336.0,852.0,709.0,530.0,571.0,616.0,542.0,169.0,109.0,87.0,97.0,99.0,114.0,1054.0,748.0,796.0,1001.0,974.0,1119.0,1503.0,2058.0,502.0,582.0,1076.0,710.0,482.0,750.0,666.0,306.0,313.0,248.0,242.0,347.0,340.0,2020.7307692307693,1960.3471528471525,1911.553656869446,1860.9817543859647,1823.9272072072074,1773.5005553498704,1694.1950152207,1631.9047339593114,1570.4020120724344,1493.0368530020705,1407.4202898550725,1327.8507462686566,1302.5734961555856,1310.2834498834497,1317.0423076923078,1339.186507936508,1363.2409114183308,1396.281597038604,1439.557650273224,1485.0341807909604,1516.104324956166,1542.2132486388386,1562.0244360902254,1571.1525974025972,1581.9360269360268,1610.3487071977636,1649.362119013062,1686.2782805429865,1741.3494117647053,1802.4248979591835,2.0,1857.6775429539405,1856.406869057329,469.0,1868.3616301166674,1884.7832007302975,1910.6405848637194,1941.6258213685499,6.0,2006.9244869626737,2.0,2.0,2101.2941799828036,2134.970967510531,2167.18826183691,2195.4240551922653,369.0,2729.0,1160.0,1790.0,1358.0,644.0,674.0,1676.0,2406.0,7366.0,6758.0,6760.0,7571.0,7571.0,0.0
1953.0,2255.0,2262.0,2304.0,2118.0,1560.0,2207.0,2382.0,2395.0,2232.0,2250.0,2410.0,2292.0,2311.0,2350.0,2309.0,1947.0,2405.0,2158.0,3084.0,2325.0,2497.0,1721.0,506.0,675.0,534.0,373.0,184.0,170.0,169.0,165.0,157.0,169.0,80.0,61.0,1135.4035087719299,2.0,5.0,13.0,55.0,67.0,90.0,105.0,91.0,120.0,122.0,166.0,1135.4035087719299,1135.4035087719299,6.0,87.0,1135.4035087719299,2.0,5.0,1135.4035087719299,85.0,174.0,227.0,348.0,284.0,492.0,668.0,613.0,577.0,632.0,784.0,879.0,698.0,753.0,805.0,813.0,744.0,918.0,1016.0,997.0,937.0,873.0,921.0,852.0,1100.0,1102.0,981.0,1056.0,992.0,948.0,879.0,977.0,1016.0,937.0,1065.0,834.0,998.0,1177.0,1539.0,1302.0,1505.0,1247.0,1042.0,1035.0,1024.0,1152.0,992.0,1118.0,553.0,1063.0,1089.0,442.0,892.0,1134.0,1013.0,1026.0,923.0,803.0,929.0,1132.0,4500.0,5048.0,5302.0,5573.0,5573.0,0.0
1569.0,1680.0,1570.0,1523.0,1612.0,957.0,1411.0,1466.0,1504.0,1823.0,1780.0,2073.0,1814.0,1790.0,1945.0,2283.0,1574.0,1792.0,1832.0,1870.0,1400.0,1252.0,987.0,751.0,1142.0,972.0,435.0,195.0,147.0,123.0,103.0,123.0,95.0,88.0,91.0,10.0,15.0,7.0,12.0,10.0,5.0,4.0,2.0,6.0,7.0,4.0,10.0,6.0,1108.2372881355932,95.0,11.0,2.0,3.0,2.0,5.0,123.0,237.0,303.0,455.0,389.0,558.0,569.0,600.0,658.0,760.0,898.0,1015.0,815.0,774.0,956.0,977.0,942.0,1073.0,1250.0,1290.0,1018.0,961.0,1039.0,1005.0,1344.0,1797.0,1385.0,1184.0,1158.0,1147.0,1195.0,1369.0,1635.0,1268.0,1327.0,1015.0,1266.0,1508.0,1968.0,2702.0,2729.0,1387.0,1310.0,1387.0,1373.0,1150.0,1450.0,1829.0,527.0,1289.0,1595.0,1282.0,1337.0,1619.0,1332.0,1327.0,1089.0,1326.0,1294.0,1556.0,4974.0,4589.0,4360.0,4740.0,4740.0,0.0
4811.0,5551.0,5338.0,4733.0,4880.0,3206.0,5060.0,5613.0,5535.0,5186.0,5277.0,5694.0,5939.0,5755.0,6759.0,5692.0,5738.0,5032.0,5299.0,5645.0,4403.0,3756.0,3053.0,2053.0,1994.0,1669.0,1055.0,500.0,496.0,407.0,352.0,310.0,271.0,155.0,64.0,75.0,63.0,58.0,70.0,404.0,513.0,472.0,558.0,666.0,803.0,877.0,1102.0,587.0,776.0,392.0,42.0,23.0,26.0,19.0,5.0,587.0,735.0,976.0,1669.0,1144.0,2489.0,3482.0,3639.0,3815.0,3956.0,4250.0,4056.0,3513.0,4481.0,4353.0,5018.0,4810.0,5813.0,4997.0,4705.0,5511.0,5184.0,5502.0,5690.0,5776.0,5535.0,5424.0,6202.0,6132.0,6160.0,5806.0,6548.0,5877.0,4647.0,6123.0,4556.0,5473.0,6519.0,5794.0,5984.0,5274.0,4376.0,5926.0,6023.0,4587.0,6137.0,4594.0,5397.0,5571.0,5295.0,6113.0,5311.0,4747.0,4934.0,4663.0,4874.0,4435.0,4910.0,4102.0,5906.0,13805.0,13324.0,14153.0,14016.0,14016.0,0.0
7244.0,6933.0,7123.0,7021.0,6718.0,5209.0,6735.0,7507.0,8337.0,7404.0,8002.0,7784.0,8202.0,8370.0,7579.0,7654.0,7994.0,6466.0,7107.0,7177.0,5449.0,4459.0,3595.0,2097.0,2278.0,1897.0,1258.0,799.0,698.0,690.0,673.0,616.0,553.0,445.0,355.0,360.0,360.0,375.0,379.0,680.0,870.0,780.0,902.0,945.0,975.0,1113.0,1122.0,742.0,898.0,455.0,69.0,31.0,13.0,13.0,5.0,47.0,45.0,26.0,23.0,21.0,5068.182608695653,5032.7384439359275,4996.645319049837,4979.380056890012,3555.0,6106.0,5394.0,4723.0,6318.0,6247.0,6818.0,6674.0,7010.0,5885.0,5106.0,7526.0,7168.0,7227.0,7187.0,7408.0,6790.0,6276.0,7739.0,7768.0,7726.0,7226.0,8227.0,6781.0,5824.0,8855.0,6042.0,6937.0,5550.0,1352.0,5342.0,6553.0,2997.0,8155.0,8037.0,7663.0,8511.0,5695.0,5697.0,4182.0,6394.0,6844.0,6958.0,5611.0,5448.0,958.0,5976.0,6358.0,6092.0,5153.0,6461.0,19010.0,19658.0,21034.0,20932.0,20932.0,0.0
3435.0,3904.0,3759.0,3438.0,3361.0,1854.0,3517.0,3793.0,3771.0,3453.0,3479.0,3546.0,3898.0,3824.0,3118.0,3528.0,3233.0,2892.0,2737.0,3130.0,2346.0,1926.0,1573.0,1114.0,1430.0,998.0,511.0,273.0,276.0,200.0,204.0,192.0,155.0,86.0,48.0,5.0,4.0,2.0,7.0,8.0,9.0,10.0,6.0,11.0,7.0,9.0,2.0,2175.188034188034,5.0,8.0,13.0,2.0,2175.188034188034,3.0,2.0,165.0,327.0,460.0,866.0,371.0,1344.0,1748.0,1797.0,1873.0,2126.0,1794.0,2505.0,2092.0,2353.0,2602.0,2656.0,2634.0,2890.0,2681.0,2413.0,2865.0,2724.0,2626.0,2813.0,2953.0,2969.0,2524.0,3005.0,2800.0,2913.0,2826.0,3039.0,2860.0,2418.0,3145.0,2405.0,2998.0,3621.0,3177.0,792.0,2227.0,2495.0,3231.0,3279.0,2789.0,3323.0,2531.0,1979.0,3211.0,3085.0,3194.0,1935.0,1529.0,2616.0,250.0,284.0,1300.0,1584.0,2634.0,3073.0,9192.0,9256.0,9360.0,9855.0,9855.0,0.0
12068.0,13098.0,13074.0,12983.0,12176.0,11357.0,14225.0,13091.0,12578.0,10056.0,11225.0,11535.0,12431.0,9612.0,10233.0,9243.0,10062.0,7740.0,10200.0,10930.0,8150.0,7249.0,6078.0,3315.0,2324.0,1463.0,1013.0,861.0,930.0,1201.0,878.0,810.0,710.0,684.0,655.0,373.0,330.0,301.0,374.0,590.0,732.0,757.0,892.0,924.0,854.0,842.0,1043.0,24.0,24.0,34.0,40.0,27.0,1895.0,1842.0,1742.0,1781.0,2187.0,2232.0,3289.0,2263.0,3811.0,5353.0,6795.0,6266.0,6181.0,6397.0,5402.0,6719.0,6294.0,6050.0,7548.0,6823.0,5665.0,7390.0,8153.0,8577.0,6434.0,7692.0,8008.0,9527.0,7468.0,8356.0,6021.0,8076.0,7166.0,5056.0,8121.0,6908.0,7011.0,10276.0,8140.0,8045.0,8632.0,9273.0,7958.0,8885.0,10968.0,9165.0,8403.0,8944.0,7937.0,6666.0,8982.0,9544.0,8582.0,7519.0,9623.0,6802.0,7413.0,8485.0,6789.0,8674.0,8381.0,5326.0,8215.0,19558.0,23668.0,25919.0,26102.0,26102.0,0.0
