SITE ID,SITE,Longitude,Latitude
父子岭,江苏省无锡市宜兴市G25(长深高速),119.903082,31.227609
浙沪南主线,上海市金山区G15(沈海高速),121.276483,30.734369
淡竹,浙江省杭州市淳安县S06(零六省道),119.233016,29.563801
千岛湖,浙江省杭州市淳安县S32(杭新景高速),119.163469,29.605547
场口,浙江省杭州市富阳区,119.877056,29.910195
龙门古镇,浙江省杭州市富阳区,119.929849,29.933166
富阳,浙江省杭州市富阳区,119.962202,30.008448
东洲岛,浙江省杭州市富阳区,120.069473,30.077773
灵桥,浙江省杭州市富阳区富阳线,120.039757,30.023066
半山,浙江省杭州市拱墅区半山互通,120.203473,30.393102
大同,浙江省杭州市建德市,119.091639,29.315897
航头,浙江省杭州市建德市,119.181417,29.334784
寿昌,浙江省杭州市建德市,119.248269,29.40528
安仁,浙江省杭州市建德市,119.606531,29.692058
新安江,浙江省杭州市建德市S32(杭新景高速),119.340031,29.522537
大店口,浙江省杭州市建德市大店口互通,119.162858,29.268843
乾潭,浙江省杭州市建德市乾潭互通,119.524498,29.627966
杨村桥,浙江省杭州市建德市杨村桥互通,119.447297,29.572638
下沙东,浙江省杭州市江干区G2501(文海路大桥),120.390374,30.329448
下沙南,浙江省杭州市江干区G92(沪昆高速),120.363239,30.281215
德胜,浙江省杭州市江干区德胜互通,120.249829,30.312002
杭州,浙江省杭州市江干区彭埠互通,120.233713,30.290064
颊口,浙江省杭州市临安区,119.040509,30.132584
龙岗,浙江省杭州市临安区,119.148,30.171714
玲珑,浙江省杭州市临安区,119.669493,30.206294
临安,浙江省杭州市临安区,119.757301,30.226113
青山湖,浙江省杭州市临安区,119.852388,30.257387
九峰,浙江省杭州市临安区,119.870453,30.252144
昱岭关,浙江省杭州市临安区G56(杭瑞高速),118.931824,30.055976
藻溪付,浙江省杭州市临安区G56(杭瑞高速),119.510414,30.207038
白果,浙江省杭州市临安区白果互通,119.001693,30.09768
昌化,浙江省杭州市临安区董家路,119.234022,30.171616
於潜,浙江省杭州市临安区潜洲街275,119.403019,30.184118
太阳,浙江省杭州市临安区太阳大街9号,119.316064,30.187837
於潜付,浙江省杭州市临安区於潜互通,119.40383,30.182183
藻溪,浙江省杭州市临安区藻溪互通,119.495833,30.208448
富春江,浙江省杭州市桐庐县,119.642688,29.727235
凤川,浙江省杭州市桐庐县,119.777541,29.820488
深澳,浙江省杭州市桐庐县,119.839713,29.861013
桐庐,浙江省杭州市桐庐县桐庐互通,119.724342,29.779777
龙坞,浙江省杭州市西湖区G25(长深高速),120.064056,30.19751
杭州南(之江大桥)A,浙江省杭州市西湖区S30(彩虹快速路),120.118682,30.147622
留下,浙江省杭州市西湖区留下枢纽,120.052423,30.245917
留下付,浙江省杭州市西湖区留下枢纽,120.05547,30.245833
袁浦,浙江省杭州市西湖区狮闻线,120.160615,30.124113
三墩,浙江省杭州市西湖区石祥西路,120.067703,30.308604
袁富,浙江省杭州市西湖区袁富互通,120.110759,30.118543
袁富付,浙江省杭州市西湖区袁富互通,120.116326,30.11803
转塘,浙江省杭州市西湖区转塘互通,120.092802,30.154245
紫金港,浙江省杭州市西湖区紫金港枢纽,120.068303,30.343155
萧山南,浙江省杭州市萧山区,120.256204,30.111035
坎红路付,浙江省杭州市萧山区S4(机场高速),120.403087,30.224175
坎红路,浙江省杭州市萧山区S4(机场高速),120.407766,30.226224
浦阳,浙江省杭州市萧山区包洪线,120.246708,29.972026
党湾,浙江省杭州市萧山区党湾互通,120.566604,30.24167
瓜沥付,浙江省杭州市萧山区瓜沥互通,120.455685,30.201633
瓜沥,浙江省杭州市萧山区瓜沥互通,120.45711,30.1997
萧山机场,浙江省杭州市萧山区机场互通,120.387079,30.218647
机场,浙江省杭州市萧山区机场互通,120.396511,30.222981
机场主线,浙江省杭州市萧山区机场互通,120.396618,30.222205
新湾,浙江省杭州市萧山区江东大道,120.553255,30.308769
临浦,浙江省杭州市萧山区临浦互通,120.272705,30.060596
六工段,浙江省杭州市萧山区六工段互通,120.537016,30.361079
浦阳付,浙江省杭州市萧山区浦阳互通,120.250654,29.97161
萧山,浙江省杭州市萧山区通城高架路,120.297211,30.248535
萧山东,浙江省杭州市萧山区萧山东互通,120.350268,30.181876
新街,浙江省杭州市萧山区新街互通,120.365954,30.214748
义桥,浙江省杭州市萧山区义桥互通,120.198137,30.099378
百丈,浙江省杭州市余杭区,119.787989,30.476777
黄湖,浙江省杭州市余杭区,119.830714,30.449672
老余杭,浙江省杭州市余杭区,119.967273,30.254646
崇贤,浙江省杭州市余杭区,120.164594,30.405246
余杭,浙江省杭州市余杭区,120.311135,30.39227
五常,浙江省杭州市余杭区G25(长深高速),120.054049,30.284484
南庄兜,浙江省杭州市余杭区G25(长深高速),120.126551,30.384535
乔司东付,浙江省杭州市余杭区G2501(杭州绕城高速),120.29198,30.346237
杭州北,浙江省杭州市余杭区S16(杭浦高速),120.257317,30.356102
