SITE ID,Longitude,Latitude
安福寺,111.596,30.5371
安居,113.178,31.7628
安陆,113.706,31.2003
安山,114.281,30.1606
巴东,110.337,30.6225
巴东北,110.461,31.1661
巴河,115.071,30.4684
芭蕉,109.471,30.1635
白果,109.284,30.2035
白浒山,114.581,30.5572
白马寺,0,0
白桑关,110.992,32.9622
白洋,111.542,30.4282
柏泉,114.143,30.713
板桥店,112.511,31.7618
宝丰,109.989,32.3169
保康,111.28,31.8479
鲍峡,110.348,32.707
北港,113.695,29.3036
北河,113.76,30.4337
北湖,114.53,30.602
蔡甸,114.055,30.5705
车溪,111.149,30.6674
沉湖,113.51,30.4434
陈安,112.347,31.2825
陈场,113.057,30.2499
陈贵,114.808,30.0195
乘马岗,114.923,31.3176
赤壁,113.862,29.7297
赤壁南,113.811,29.648
赤壁西,113.818,29.742
崇阳,114.086,29.5199
崇阳东,114.21,29.5746
大别山,115.488,30.7949
大洪山东,113.092,31.6281
大洪山西,112.916,31.6574
大悟,114.151,31.585
大薤山,111.334,32.1498
大新,114.196,31.7128
大冶,114.922,30.0778
当阳北,111.67,30.8622
当阳东,111.854,30.7872
当阳西,111.751,30.771
店垭,111.344,31.4502
东西湖,113.992,30.7177
垌冢,113.443,30.7725
鄂州,114.905,30.3548
鄂州东,114.99,30.3317
鄂州西,114.801,30.3954
鄂州中,114.905,30.3543
恩施,109.544,30.3126
恩施北,109.447,30.2916
恩施东,109.578,30.3978
恩施西,109.495,30.2341
芳畈,114.118,31.4274
房县,110.726,32.0754
分路,115.94,29.7629
分盐,113.04,29.9469
枫林,115.404,29.7577
封江,113.352,31.9659
凤凰山,114.461,30.4186
府河,114.319,30.715
甘棠,114.563,30.8413
高家堰,111.039,30.5859
高岚,110.932,31.2039
高罗,109.511,29.7573
高坪,110.082,30.6399
葛店,114.675,30.5222
公安,112.165,30.0559
龚家岭,114.45,30.5983
谷城,111.624,32.3128
关庙,113.682,31.678
官山,110.895,32.3955
广水,113.857,31.5721
桂花,114.37,29.7482
汉川,113.84,30.7332
汉口北,114.238,30.8472
汉南,114.071,30.3465
河口,114.442,31.3455
河铺,115.383,31.1373
贺家坪,110.862,30.6117
红安,114.586,31.0393
洪港,114.861,29.5053
后湖,112.742,30.3737
胡集,112.343,31.44
花桥,115.742,30.0243
花山,114.527,30.5568
华蒲,114.756,30.4802
华容,114.768,30.5248
淮河,113.511,32.3158
黄陂,114.34,30.8464
黄陂北,114.534,30.9865
黄陂东,114.476,30.8937
黄冈,114.889,30.5352
黄花涝机场,0,0
黄花涝武汉,114.211971,30.740383
黄集,112.117,32.3139
黄龙,110.566,32.6984
黄梅,115.924,30.0437
黄沙铺,114.699,29.7299
黄石,115.036,30.2534
黄石西,114.928,30.171
黄州,114.998,30.5767
机场北,114.257,30.8094
嘉鱼北,114.003,30.0247
嘉鱼东,113.99,29.9469
嘉鱼南,113.99,29.9469
监利,113.037,29.8933
监利北,112.917,29.9356
建始,109.9,30.555
江陵,112.455,30.1044
江陵北,112.381,30.1418
江夏,114.318,30.3151
蒋家堰,109.604,32.3259
金港,114.208,30.3727
金口,114.17,30.3614
金牛,114.681,29.9758
京山,113.249,30.9556
京山南,113.112,30.9133
荆门,112.274,30.9294
荆门北,112.278,31.0427
荆州,112.202,30.401
荆州南,112.218,30.2747
荆州桥北,112.235,30.3348
荆州桥南,112.224,30.2849
荆州中,112.256,30.3476
径河,114.17,30.6665
琚湾,112.625,32.0807
巨龙,114.407,30.7288
军店,110.609,32.0649
军山,114.123,30.3903
均川,113.277,31.6709
来凤,109.458,29.5582
兰溪,115.165,30.3742
郎君,113.72,30.8413
榔坪,110.528,30.6203
老河口,111.734,32.2847
利川,108.963,30.2825
利川西,108.858,30.2888
灵乡,114.202,30.7202
陵园,114.334,30.8281
刘洞,111.146,33.1324
柳林,113.209,31.5762
六里坪,110.983,32.5442
龙感湖,115.966,29.9169
龙港,114.948,29.6074
龙王,111.977,32.2375
隆中,112.081,32.0114
路口,114.785,30.3853
罗田,115.372,30.7423
洛阳店,113.447,31.4619
麻城,114.946,31.153
麻城东,115.076,31.2159
马曹庙,115.016,30.6617
马桥,114.374,29.8201
毛嘴,113.039,30.4047
茅坪,110.981,30.8065
梅川,115.545,30.1751
庙岭,114.628,30.4474
木子店,115.391,31.2159
南林桥,114.357,29.591
南平,112.067,29.8986
南营,112.282,31.7918
南漳,111.867,31.8067
藕池,112.277,29.7652
排湖,113.314,30.3834
