Date,Florida power-law index,Hubei power-law index,Zhejiang power-law index
2020/1/3,1.67176235,2.10733874,2.12414682
2020/1/4,1.62632326,2.11041005,2.05058656
2020/1/5,1.69973368,2.10521734,1.74550461
2020/1/6,1.68557188,2.09507828,2.02351308
2020/1/7,1.70603793,2.0955657,2.05178976
2020/1/8,1.6788006,2.08434575,2.09826172
2020/1/9,1.73711683,2.0831995,1.21211405
2020/1/10,1.60907923,2.08984749,1.31381479
2020/1/11,1.63255628,2.10367372,2.15080004
2020/1/12,1.67861236,2.11563125,2.14469488
2020/1/13,1.68562109,2.13521769,2.12296756
2020/1/14,1.63044852,2.08681871,2.10359563
2020/1/15,1.70068227,2.06569782,2.13776326
2020/1/16,1.67663839,2.09406136,2.03652619
2020/1/17,1.64780638,2.11090653,2.02584716
2020/1/18,1.74350732,2.09579998,2.03093811
2020/1/19,1.69566973,2.07392793,2.14097628
2020/1/20,1.68121582,2.12671452,2.08764407
2020/1/21,1.7187358,2.15488342,2.08508697
2020/1/22,1.69340365,2.17211539,2.05533202
2020/1/23,1.70947775,2.18410081,2.05596469
2020/1/24,1.65801794,2.24482418,2.02358074
2020/1/25,1.64380677,2.02454149,2.09002184
2020/1/26,1.58872843,1.99663896,2.12726239
2020/1/27,1.70066037,1.95854978,2.12072128
2020/1/28,1.65387366,1.94527066,2.10718028
2020/1/29,1.65377933,2.03544607,2.09541131
2020/1/30,1.64183522,2.03191684,2.07650741
2020/1/31,1.62771714,2.00378757,2.06112859
2020/2/1,1.57866363,2.028993,2.01808794
2020/2/2,1.6799142,1.95206734,1.97004106
2020/2/3,1.67385594,2.00482887,1.82405804
2020/2/4,1.6656434,1.97714449,1.819107
2020/2/5,1.70082629,2.03173409,1.74761583
2020/2/6,1.77655896,1.93683108,1.93068629
2020/2/7,1.6526503,1.97480997,1.91817694
2020/2/8,1.67269092,1.94483826,1.93844642
2020/2/9,1.69104044,1.91439832,2.03867271
2020/2/10,1.78062494,1.93880024,2.00965375
2020/2/11,1.69162675,1.96055103,2.02229408
2020/2/12,1.71751959,1.94298559,2.02197595
2020/2/13,1.6746357,1.88263162,2.00859981
2020/2/14,1.64457532,1.90438402,2.04613686
2020/2/15,1.55590671,1.87188627,2.02175942
2020/2/16,1.62874246,1.88002016,2.04163956
2020/2/17,1.66880666,1.87691982,1.61884359
2020/2/18,1.70947995,1.79723934,1.66903986
2020/2/19,1.69335951,1.83679555,1.87898252
2020/2/20,1.72649184,1.79165562,1.97557254
2020/2/21,1.6428001,1.8505505,1.95269205
2020/2/22,1.65929822,1.86961324,1.97559059
2020/2/23,1.60948972,1.77976797,2.04081249
2020/2/24,1.72763529,1.82953327,1.98286515
2020/2/25,1.67184964,1.90925047,1.96760274
2020/2/26,1.74997908,1.93087066,1.93227695
2020/2/27,1.72535997,1.89196167,2.00113906
2020/2/28,1.63620032,1.89512138,1.94074527
2020/2/29,1.6527756,1.8363647,2.02381362
2020/3/1,1.62006397,1.85245365,1.89853444
2020/3/2,1.65189278,1.81753009,1.84738316
2020/3/3,1.68454744,1.80948459,1.87013966
2020/3/4,1.72154589,1.83700653,1.86274104
2020/3/5,1.71874862,1.89324308,1.81233007
2020/3/6,1.5979923,1.87223429,1.82405235
2020/3/7,1.62799845,1.82555436,1.85714101
2020/3/8,1.5973635,1.81621198,1.85696556
2020/3/9,1.74640824,1.84010247,1.86448756
2020/3/10,1.6681491,1.86117282,1.79360681
2020/3/11,1.73818654,1.86627668,1.83769669
2020/3/12,1.71023637,1.85287808,1.87362467
2020/3/13,1.60659165,1.81594294,1.79805963
2020/3/14,1.55912887,1.88595756,1.83288789
2020/3/15,1.64125435,1.85421106,1.91356312
2020/3/16,1.67664469,1.94079803,1.82575811
2020/3/17,1.66555207,1.93551849,1.81022723
2020/3/18,1.69070664,1.95133943,1.84192832
2020/3/19,1.68123692,1.95019933,1.83518592
2020/3/20,1.64830166,1.92917134,1.79090273
2020/3/21,1.58207166,,1.83919318
2020/3/22,1.71801963,,1.82738008
2020/3/23,1.67929487,,1.77767277
2020/3/24,1.68715855,,1.76543619
2020/3/25,1.62621029,,1.76323325
2020/3/26,1.67880678,,1.77964846
2020/3/27,1.6287162,,1.78716416
2020/3/28,1.6226847,,1.82257407
2020/3/29,1.74088302,,1.9181884
2020/3/30,1.70387304,,1.76715554
2020/3/31,1.66806753,,1.7699519
2020/4/1,1.70033229,,1.76084561
2020/4/2,1.64678527,,1.74866681
2020/4/3,1.65531691,,1.89408132
2020/4/4,1.61215539,,1.89904697
2020/4/5,1.77690618,,1.85829787
2020/4/6,1.68453747,,1.90003922
2020/4/7,1.73171788,,1.85354954
2020/4/8,1.71017273,,2.01000185
2020/4/9,1.71499983,,1.98414966
2020/4/10,1.58825225,,1.95220237
2020/4/11,1.61962395,,2.02892147
2020/4/12,1.74619674,,2.05019827
2020/4/13,1.76043755,,1.96321299
2020/4/14,1.70585029,,1.96781348
2020/4/15,1.70130747,,2.06216145
2020/4/16,1.67182097,,1.99887707
2020/4/17,1.68183706,,2.05318277
2020/4/18,1.61854354,,2.03206487
2020/4/19,1.7171536,,2.10599541
2020/4/20,1.66087382,,1.9610271
2020/4/21,1.70122928,,2.04912377
2020/4/22,1.71923351,,1.97043743
2020/4/23,1.70145055,,2.02075775
2020/4/24,1.66712438,,1.97128098
2020/4/25,1.60098359,,2.0298179
2020/4/26,1.73354559,,2.02378424
2020/4/27,1.68766168,,2.0074501
2020/4/28,1.66370047,,1.98982679
