Date,New Cases,Power-law Index
2020/1/22,0,1.69340365
2020/1/23,0,1.70947775
2020/1/24,0,1.65801794
2020/1/25,0,1.64380677
2020/1/26,0,1.58872843
2020/1/27,0,1.70066037
2020/1/28,0,1.65387366
2020/1/29,0,1.65377933
2020/1/30,0,1.64183522
2020/1/31,0,1.62771714
2020/2/1,0,1.57866363
2020/2/2,0,1.6799142
2020/2/3,0,1.67385594
2020/2/4,0,1.6656434
2020/2/5,0,1.70082629
2020/2/6,0,1.77655896
2020/2/7,0,1.6526503
2020/2/8,0,1.67269092
2020/2/9,0,1.69104044
2020/2/10,0,1.78062494
2020/2/11,0,1.69162675
2020/2/12,0,1.71751959
2020/2/13,0,1.6746357
2020/2/14,0,1.64457532
2020/2/15,0,1.55590671
2020/2/16,0,1.62874246
2020/2/17,0,1.66880666
2020/2/18,0,1.70947995
2020/2/19,0,1.69335951
2020/2/20,0,1.72649184
2020/2/21,0,1.6428001
2020/2/22,0,1.65929822
2020/2/23,0,1.60948972
2020/2/24,0,1.72763529
2020/2/25,0,1.67184964
2020/2/26,0,1.74997908
2020/2/27,0,1.72535997
2020/2/28,0,1.63620032
2020/2/29,0,1.6527756
2020/3/1,0,1.62006397
2020/3/2,1,1.65189278
2020/3/3,1,1.68454744
2020/3/4,0,1.72154589
2020/3/5,1,1.71874862
2020/3/6,0,1.5979923
2020/3/7,4,1.62799845
2020/3/8,3,1.5973635
2020/3/9,3,1.74640824
2020/3/10,2,1.6681491
2020/3/11,9,1.73818654
2020/3/12,6,1.71023637
2020/3/13,20,1.60659165
2020/3/14,26,1.55912887
2020/3/15,24,1.64125435
2020/3/16,1,1.67664469
2020/3/17,89,1.66555207
2020/3/18,116,1.69070664
2020/3/19,126,1.68123692
2020/3/20,132,1.64830166
2020/3/21,199,1.58207166
2020/3/22,241,1.71801963
2020/3/23,223,1.67929487
2020/3/24,185,1.68715855
2020/3/25,270,1.62621029
2020/3/26,675,1.67880678
2020/3/27,543,1.6287162
2020/3/28,863,1.6226847
2020/3/29,483,1.74088302
2020/3/30,1227,1.70387304
2020/3/31,1268,1.66806753
2020/4/1,215,1.70033229
2020/4/2,2052,1.64678527
2020/4/3,1260,1.65531691
2020/4/4,1269,1.61215539
2020/4/5,813,1.77690618
2020/4/6,974,1.68453747
2020/4/7,1221,1.73171788
2020/4/8,911,1.71017273
2020/4/9,908,1.71499983
2020/4/10,1167,1.58825225
2020/4/11,963,1.61962395
2020/4/12,1401,1.74619674
2020/4/13,1124,1.76043755
2020/4/14,609,1.70585029
2020/4/15,883,1.70130747
2020/4/16,832,1.67182097
2020/4/17,1416,1.68183706
2020/4/18,733,1.61854354
2020/4/19,822,1.7171536
2020/4/20,745,1.66087382
2020/4/21,810,1.70122928
2020/4/22,440,1.71923351
2020/4/23,1339,1.70145055
2020/4/24,885,1.66712438
2020/4/25,306,1.60098359
2020/4/26,693,1.73354559
2020/4/27,606,1.68766168
2020/4/28,710,1.66370047
2020/4/29,345,1.70143664
2020/4/30,497,1.65330988
2020/5/1,1038,1.61780651
2020/5/2,735,1.57336528
2020/5/3,615,1.72386862
2020/5/4,819,1.65682607
2020/5/5,542,1.69187843
2020/5/6,563,1.62391796
2020/5/7,826,1.64571009
2020/5/8,371,1.58410717
2020/5/9,802,1.52509872
2020/5/10,595,1.63869002
2020/5/11,386,1.67519754
2020/5/12,941,1.65930013
2020/5/13,479,1.64440097
2020/5/14,808,1.65693276
2020/5/15,928,1.64067393
2020/5/16,673,1.53490562
2020/5/17,777,1.72012853
2020/5/18,854,1.69102197
2020/5/19,502,1.66776074
2020/5/20,527,1.65124179
2020/5/21,1204,1.64304383
2020/5/22,776,1.55769721
2020/5/23,676,1.49365883
2020/5/24,740,1.52983145
2020/5/25,879,1.65434974
2020/5/26,509,1.66180029
2020/5/27,379,1.63224405
2020/5/28,651,1.63885534
2020/5/29,1212,1.6206791
2020/5/30,927,1.65075589
2020/5/31,739,1.66977479
2020/6/1,667,1.71158097
