Date,New Cases,Power-law Index
2020/1/20,270,2.12671452
2020/1/21,105,2.15488342
2020/1/22,69,2.17211539
2020/1/23,105,2.18410081
2020/1/24,180,2.24482418
2020/1/25,323,2.02454149
2020/1/26,371,1.99663896
2020/1/27,1291,1.95854978
2020/1/28,840,1.94527066
2020/1/29,1032,2.03544607
2020/1/30,1220,2.03191684
2020/1/31,1347,2.00378757
2020/2/1,1921,2.028993
2020/2/2,2103,1.95206734
2020/2/3,2345,2.00482887
2020/2/4,3156,1.97714449
2020/2/5,2987,2.03173409
2020/2/6,2447,1.93683108
2020/2/7,2841,1.97480997
2020/2/8,2147,1.94483826
2020/2/9,2531,1.91439832
2020/2/10,2097,1.93880024
2020/2/11,1638,1.96055103
2020/2/12,14840,1.94298559
2020/2/13,3780,1.88263162
2020/2/14,2420,1.90438402
2020/2/15,1843,1.87188627
2020/2/16,1933,1.88002016
2020/2/17,1807,1.87691982
2020/2/18,1693,1.79723934
2020/2/19,349,1.83679555
2020/2/20,631,1.79165562
2020/2/21,792,1.8505505
2020/2/22,630,1.86961324
2020/2/23,203,1.77976797
2020/2/24,499,1.82953327
2020/2/25,401,1.90925047
2020/2/26,409,1.93087066
2020/2/27,318,1.89196167
2020/2/28,423,1.89512138
2020/2/29,570,1.8363647
2020/3/1,196,1.85245365
2020/3/2,114,1.81753009
2020/3/3,115,1.80948459
2020/3/4,134,1.83700653
2020/3/5,126,1.89324308
2020/3/6,74,1.87223429
2020/3/7,41,1.82555436
2020/3/8,36,1.81621198
2020/3/9,17,1.84010247
2020/3/10,13,1.86117282
2020/3/11,8,1.86627668
2020/3/12,5,1.85287808
2020/3/13,4,1.81594294
2020/3/14,4,1.88595756
2020/3/15,4,1.85421106
2020/3/16,1,1.94079803
2020/3/17,1,1.93551849
2020/3/18,0,1.95133943
2020/3/19,0,1.95019933
2020/3/20,0,1.92917134
,,
,,
,,
