Date,New Cases,Power-law Index
2020/1/1,0,1.50841804
2020/1/2,0,2.07471094
2020/1/3,0,2.12414682
2020/1/4,0,2.05058656
2020/1/5,0,1.74550461
2020/1/6,0,2.02351308
2020/1/7,0,2.05178976
2020/1/8,0,2.09826172
2020/1/9,0,1.21211405
2020/1/10,0,1.31381479
2020/1/11,0,2.15080004
2020/1/12,0,2.14469488
2020/1/13,0,2.12296756
2020/1/14,0,2.10359563
2020/1/15,0,2.13776326
2020/1/16,0,2.03652619
2020/1/17,0,2.02584716
2020/1/18,0,2.03093811
2020/1/19,0,2.14097628
2020/1/20,0,2.08764407
2020/1/21,5,2.08508697
2020/1/22,5,2.05533202
2020/1/23,33,2.05596469
2020/1/24,19,2.02358074
2020/1/25,42,2.09002184
2020/1/26,24,2.12726239
2020/1/27,45,2.12072128
2020/1/28,123,2.10718028
2020/1/29,132,2.09541131
2020/1/30,109,2.07650741
2020/1/31,62,2.06112859
2020/2/1,62,2.01808794
2020/2/2,63,1.97004106
2020/2/3,105,1.82405804
2020/2/4,66,1.819107
2020/2/5,59,1.74761583
2020/2/6,52,1.93068629
2020/2/7,42,1.91817694
2020/2/8,27,1.93844642
2020/2/9,17,2.03867271
2020/2/10,25,2.00965375
2020/2/11,14,2.02229408
2020/2/12,14,2.02197595
2020/2/13,10,2.00859981
2020/2/14,7,2.04613686
2020/2/15,5,2.02175942
2020/2/16,4,2.04163956
2020/2/17,1,1.61884359
2020/2/18,1,1.66903986
2020/2/19,2,1.87898252
2020/2/20,28,1.97557254
2020/2/21,2,1.95269205
2020/2/22,0,1.97559059
2020/2/23,0,2.04081249
2020/2/24,0,1.98286515
2020/2/25,0,1.96760274
2020/2/26,0,1.93227695
2020/2/27,0,2.00113906
2020/2/28,0,1.94074527
2020/2/29,0,2.02381362
2020/3/1,1,1.89853444
2020/3/2,7,1.84738316
2020/3/3,0,1.87013966
2020/3/4,2,1.86274104
2020/3/5,0,1.81233007
2020/3/6,0,1.82405235
2020/3/7,0,1.85714101
2020/3/8,0,1.85696556
2020/3/9,0,1.86448756
2020/3/10,0,1.79360681
2020/3/11,0,1.83769669
2020/3/12,0,1.87362467
2020/3/13,12,1.79805963
2020/3/14,4,1.83288789
2020/3/15,0,1.91356312
2020/3/16,1,1.82575811
2020/3/17,0,1.81022723
2020/3/18,1,1.84192832
2020/3/19,1,1.83518592
2020/3/20,2,1.79090273
2020/3/21,1,1.83919318
2020/3/22,1,1.82738008
2020/3/23,2,1.77767277
2020/3/24,1,1.76543619
2020/3/25,2,1.76323325
2020/3/26,4,1.77964846
2020/3/27,4,1.78716416
2020/3/28,3,1.82257407
2020/3/29,1,1.9181884
2020/3/30,2,1.76715554
2020/3/31,0,1.7699519
2020/4/1,1,1.76084561
2020/4/2,2,1.74866681
2020/4/3,2,1.89408132
2020/4/4,1,1.89904697
2020/4/5,1,1.85829787
2020/4/6,1,1.90003922
2020/4/7,1,1.85354954
2020/4/8,1,2.01000185
2020/4/9,0,1.98414966
2020/4/10,0,1.95220237
2020/4/11,0,2.02892147
2020/4/12,0,2.05019827
2020/4/13,0,1.96321299
2020/4/14,1,1.96781348
2020/4/15,0,2.06216145
2020/4/16,0,1.99887707
2020/4/17,0,2.05318277
2020/4/18,0,2.03206487
2020/4/19,0,2.10599541
2020/4/20,0,1.9610271
2020/4/21,0,2.04912377
2020/4/22,0,1.97043743
2020/4/23,0,2.02075775
2020/4/24,0,1.97128098
2020/4/25,0,2.0298179
2020/4/26,0,2.02378424
2020/4/27,0,2.0074501
2020/4/28,0,1.98982679
